Year,RealOrProjGamesAbove500,RealGamesAbove500IfShortSeason
1968,21.333,
1969,23.667,
1970,14.0,
1971,21.143,
1972,24.889,
1973,25.111,
1974,20.25,
1975,12.8,
1976,11.8,
1977,14.4,
1978,17.556,
1979,16.4,
1980,18.167,
1981,18.615,
1982,25.111,
1983,27.556,
1984,15.636,
1985,19.273,
1986,16.923,
1987,22.0,
1988,24.2,
1989,27.0,
1990,34.222,
1991,25.0,
1992,22.154,
1993,24.545,
1994,33.6,
1995,24.833,
1996,24.769,
1997,25.467,
1998,33.091,
1999,27.730759999999997,16.909
2000,25.833,
2001,28.545,
2002,22.0,
2003,22.833,
2004,19.846,
2005,25.5,
2006,18.571,
2007,17.067,
2008,24.714,
2009,25.143,
2010,25.846,
2011,23.143,
2012,26.298393939393943,21.167
2013,24.615,
2014,23.571,
2015,21.867,
2016,26.0,
2017,20.308,
2018,25.833,
2019,21.0,
2020,21.05447619047619,16.176
